Palavra, Recorr̻ncia 
quis, 7
blandit, 7
amet, 7
quisque, 7
cras, 6
gravida, 6
lacus, 6
sodales, 6
sollicitudin, 6
aenean, 6
donec, 6
praesent, 6
faucibus, 5
consequat, 5
felis, 5
curabitur, 5
diam, 5
elit, 5
ligula, 5
morbi, 5
per, 5
orci, 5
vehicula, 5
a, 5
sociosqu, 4
s, 4
nec, 4
quam, 4
sed, 4
torquent, 4
adipiscing, 4
risus, 4
luctus, 4
Testando, 4
sem, 4
conubia, 4
nisl, 4
id, 4
euismod, 4
porttitor, 4
et, 4
ut, 4
massa, 4
convallis, 4
nulla, 4
erat, 4
phasellus, 4
proin, 4
urna, 4
magna, 3
netus, 3
enim, 3
mattis, 3
platea, 3
molestie, 3
t, 3
venenatis, 3
aliquet, 3
accumsan, 3
class, 3
maecenas, 3
malesuada, 3
etiam, 3
ad, 3
fames, 3
est, 3
vitae, 3
hendrerit, 3
ultrices, 3
habitant, 3
potenti, 3
integer, 3
varius, 3
ipsum, 3
tincidunt, 3
bibendum, 3
litora, 3
at, 3
dapibus, 3
in, 3
lorem, 3
suspendisse, 3
odio, 3
aliquam, 3
leo, 3
habitasse, 3
tempus, 3
iaculis, 3
eu, 3
dictumst, 3
egestas, 2
pellentesque, 2
vel, 2
nibh, 2
velit, 2
ultricies, 2
libero, 2
condimentum, 2
ante, 2
curae, 2
nullam, 2
imperdiet, 2
aptent, 2
primis, 2
convalli, 2
ac, 2
nam, 2
	Curae, 2
justo, 2
consectetur, 2
neque, 2
e, 2
dolor, 2
viverra, 2
congue, 2
nisi, 2
non, 2
sagittis, 2
mollis, 2
us, 2
dictum, 2
senectus, 2
cursus, 2
pulvinar, 2
eget, 2
lobortis, 2
auctor, 2
taciti, 2
pharetra, 2
fermentum, 2
posuere, 2
inceptos, 2
interdum, 2
fringill, 2
vulputate, 2
n, 2
eleifend, 2
pretium, 2
suscipit, 2
ornare, 1
suspe, 1
ndisse, 1
texto, 1
	Nullam, 1
aleatori, 1
o, 1
dapi, 1
bus, 1
vestibu, 1
tortor, 1
lum, 1
mi, 1
l, 1
acus, 1
tempor, 1
cubi, 1
cong, 1
ue, 1
c, 1
vivam, 1
lass, 1
vestibulum, 1
el, 1
eifend, 1
dui, 1
scelerisque, 1
laoreet, 1
u, 1
aciti, 1
placerat, 1
tristique, 1
hac, 1
tor, 1
d, 1
onec, 1
eros, 1
semper, 1
fusce, 1
cubilia, 1
porta, 1
lacinia, 1
quent, 1
int, 1
eger, 1
accumsa, 1
rutrum, 1
pulv, 1
inar, 1
lia, 1
VAPOVAPOLorem, 1
um, 1
	Fermentum, 1
himenaeos, 1
lectus, 1
commodo, 1
ph, 1
asellus, 1
h, 1
endrerit, 1
rhoncus, 1
sapien, 1
sit, 1
ec, 1
turpis, 1
clas, 1
nos, 1
tra, 1
tellus, 1
variu, 1
nunc, 1
soll, 1
icitudin, 1
socio, 1
p, 1
otenti, 1
squ, 1
vivamus, 1
arcu, 1
duis, 1
lect, 1
ultrici, 1
es, 1
nte, 1
nu, 1
llam, 1
teet, 0
